CellLine,R2,RMSE,MAE,Pearson,Spearman
786-0,0.846344054,10.08943996,5.879885674,0.920450985,0.743879233
A498,0.866372943,7.572783485,4.712835789,0.931522131,0.803924412
A549/ATCC,0.87573278,9.983850409,5.781271458,0.936031044,0.820224538
ACHN,0.90025878,9.133487047,5.531002998,0.949260116,0.833213771
BT-549,0.872655392,8.211405791,5.206528187,0.934288561,0.824935305
CAKI-1,0.843036115,9.694493286,6.231221676,0.919284582,0.841100335
CCRF-CEM,0.904001534,11.58819661,6.785386086,0.950951695,0.8576923
COLO 205,0.862563968,11.13855766,6.859894276,0.928835034,0.827754147
DU-145,0.871758282,10.02205857,5.845825195,0.934466839,0.789271436
EKVX,0.804774702,7.509635077,4.921131611,0.901081383,0.662208344
HCC-2998,0.838588774,10.4303985,6.861727238,0.917721391,0.801600821
HCT-116,0.884290934,10.96931791,6.414366722,0.940477312,0.813315771
HCT-15,0.849905193,10.16434173,6.198244095,0.921927214,0.730336513
HL-60(TB),0.855166018,14.72099945,8.933493614,0.925200164,0.829721022
HOP-62,0.87980026,9.333052313,6.142321587,0.938655496,0.784397197
HOP-92,0.860371768,7.389906996,5.015663624,0.930342495,0.801918896
HS 578T,0.810038924,10.0287558,6.153941154,0.901259601,0.762455353
HT29,0.845878363,11.1703882,6.417414188,0.920435667,0.802932102
IGROV1,0.857763588,8.565122773,5.213999271,0.926825643,0.812820481
K-562,0.860453367,12.34196363,7.553789616,0.928644598,0.833051811
KM12,0.801052392,11.08584803,6.956008434,0.8959589,0.785155023
LOX IMVI,0.860488236,10.88827371,6.295979023,0.928443789,0.815755724
M14,0.892420411,8.347275578,5.143214703,0.945105016,0.78336423
MALME-3M,0.862043321,8.242075958,5.214429855,0.929261565,0.777609404
MCF7,0.861842275,7.988248777,5.10549593,0.928541601,0.812022229
MDA-MB-231/ATCC,0.828114331,8.351249154,5.205300808,0.910629332,0.805995191
MDA-MB-435,0.802310586,10.94116638,5.963023186,0.89744997,0.73621439
MDA-MB-468,0.86968559,9.924196563,5.915662766,0.933579206,0.812261611
MOLT-4,0.898052573,13.1852418,7.073791027,0.948041201,0.865524478
NCI-H226,0.797565877,8.790514203,5.271221638,0.893712223,0.727282203
NCI-H23,0.887919545,8.943165937,5.596688271,0.943211854,0.786231489
NCI-H322M,0.7353971,9.489455143,5.44215107,0.858256578,0.628264511
NCI-H460,0.880090058,11.43470472,6.479907036,0.939392507,0.801495906
NCI-H522,0.85524857,9.421718311,5.733248234,0.926821053,0.823347764
NCI/ADR-RES,0.812599421,7.952844161,4.991511345,0.902216375,0.714607563
OVCAR-3,0.826292038,11.02844133,6.650369167,0.909929037,0.763700642
OVCAR-4,0.835190356,7.934317845,4.5564785,0.914939284,0.730169303
OVCAR-5,0.842231512,9.389173449,5.521445751,0.919185936,0.787913074
OVCAR-8,0.8448897,10.30501844,5.706966877,0.919520915,0.790139224
PC-3,0.846290827,8.238861425,5.25010252,0.921699166,0.79156908
RPMI-8226,0.864512146,12.07159302,7.621228695,0.930240452,0.838656524
RXF 393,0.833788157,8.007850133,4.851438046,0.913476527,0.768189669
SF-268,0.848677635,9.336820451,5.847158909,0.921505332,0.747821887
SF-295,0.861231804,9.508837153,5.537640095,0.928170025,0.760767071
SF-539,0.856404066,10.41674642,6.256897449,0.926650286,0.801568486
SK-MEL-2,0.840561628,10.49995132,6.838828087,0.918622255,0.760395975
SK-MEL-28,0.837091684,8.480403975,5.159671307,0.915194333,0.736707317
SK-MEL-5,0.866073787,9.701286891,5.83962965,0.930690467,0.805932256
SK-OV-3,0.865547836,7.711667908,4.760009289,0.931060791,0.759983858
SN12C,0.871400237,8.506201333,5.417798042,0.934418797,0.804659813
SNB-19,0.876245081,8.725192407,5.319644928,0.936138332,0.777091996
SNB-75,0.876645327,6.93406661,4.467456818,0.93730849,0.746134435
SR,0.888117015,13.83457819,7.310406685,0.94369483,0.872816372
SW-620,0.866858363,9.783494198,5.88585043,0.931245327,0.824691081
T-47D,0.83104521,7.833866047,5.276652813,0.913995326,0.747882314
TK-10,0.824148476,9.184272043,5.284536362,0.909890652,0.763256306
U251,0.883106709,9.71453668,5.714487553,0.940546572,0.826515211
UACC-257,0.814231038,8.391787429,4.767726898,0.902583182,0.708846059
UACC-62,0.86008513,9.33078931,5.141898155,0.927532792,0.81216628
UO-31,0.814039886,8.424326015,4.774917126,0.903277934,0.805040984
