CellLine,R2,RMSE,MAE,Pearson,Spearman
786-0,0.848718107,10.33447624,6.994058609,0.9214288,0.801909527
A498,0.805084467,9.447479832,6.542613983,0.8976354,0.835356064
A549/ATCC,0.872049928,10.70727102,7.155804157,0.934715152,0.86020779
ACHN,0.897023022,9.841204408,6.741727829,0.947272182,0.893770162
BT-549,0.821586668,10.42742397,7.399587154,0.908166051,0.842843656
CAKI-1,0.803109646,11.24483897,7.992807388,0.902418017,0.845371981
CCRF-CEM,0.881552935,13.68576861,8.471934319,0.94039315,0.903951701
COLO 205,0.852515578,12.48216501,8.894446373,0.923350811,0.869482228
DU-145,0.867177248,10.89038086,7.275969028,0.931525409,0.802787762
EKVX,0.755985439,10.29854754,6.739217281,0.86977011,0.690724736
HCC-2998,0.793960929,11.89000581,8.848654747,0.892330825,0.820078525
HCT-116,0.86594063,12.48200854,8.721575737,0.930967033,0.842117748
HCT-15,0.815725923,11.82495817,8.415800095,0.903326094,0.765809375
HL-60(TB),0.807967007,17.91583155,11.838624,0.900296271,0.821516358
HOP-62,0.835773826,11.68506944,8.169325829,0.916037083,0.796900042
HOP-92,0.799686909,9.193677421,6.735516548,0.894629359,0.801602143
HS 578T,0.794379711,11.1199789,7.707934856,0.894644678,0.780724176
HT29,0.819785118,12.72165596,8.256341934,0.906434417,0.803362748
IGROV1,0.817294955,9.702063068,6.618330002,0.905439496,0.848888469
K-562,0.81468761,14.16797037,9.602303505,0.903144896,0.875125289
KM12,0.722769976,13.05164174,9.590296745,0.853809237,0.737395778
LOX IMVI,0.788474739,14.28652076,9.338385582,0.889444411,0.794202295
M14,0.853086054,10.25789766,6.842774391,0.924284101,0.74407856
MALME-3M,0.816296101,9.77615409,6.780000687,0.906558216,0.818161961
MCF7,0.847097993,8.858451782,6.285437107,0.92102319,0.843922931
MDA-MB-231/ATCC,0.796238303,8.901167427,6.282096386,0.893224001,0.829277695
MDA-MB-435,0.81040746,11.65779198,7.362485409,0.901212871,0.757273173
MDA-MB-468,0.850542247,11.24935437,7.506637573,0.923763037,0.854560453
MOLT-4,0.848085105,16.67732895,9.49358654,0.923174441,0.894753169
NCI-H226,0.778011978,9.350730304,6.492485523,0.882958293,0.724238899
NCI-H23,0.867172062,10.50709984,7.291613102,0.933021724,0.805784964
NCI-H322M,0.795121133,9.380923422,6.551762104,0.894133568,0.69350493
NCI-H460,0.871678531,12.55782766,7.889146805,0.934668422,0.852620362
NCI-H522,0.782885551,12.8582026,8.032790184,0.887036085,0.832927736
NCI/ADR-RES,0.78224659,8.710154901,6.143997192,0.885109246,0.708809458
OVCAR-3,0.759621441,13.61742954,9.43645668,0.871588588,0.782037574
OVCAR-4,0.790794492,8.458856075,5.829319954,0.892108083,0.746167522
OVCAR-5,0.832361817,10.05534573,6.854727745,0.913346171,0.808485373
OVCAR-8,0.862994254,10.26860368,7.03650856,0.929393649,0.859619957
PC-3,0.815852642,9.246308286,6.380290985,0.904238343,0.794756306
RPMI-8226,0.838986635,13.94334939,9.47048378,0.916672409,0.858831556
RXF 393,0.794706464,9.035480498,5.916042328,0.892097533,0.746909025
SF-268,0.840454876,10.01358711,7.031985283,0.9167822,0.779177478
SF-295,0.826480925,10.86314992,6.963084698,0.909514546,0.771967933
SF-539,0.815047562,12.64111991,8.336985588,0.903097153,0.777543501
SK-MEL-2,0.799071312,12.6348947,8.856206894,0.895140886,0.793666834
SK-MEL-28,0.842028677,8.852592011,6.2409482,0.917737782,0.789622803
SK-MEL-5,0.828669012,10.85476837,7.373064518,0.911302686,0.811997511
SK-OV-3,0.846372962,8.562807843,5.890217304,0.920030117,0.781316846
SN12C,0.828199506,9.841487758,6.925563812,0.911008775,0.805647013
SNB-19,0.863601804,9.813938691,6.701809883,0.932442248,0.846516351
SNB-75,0.865224719,7.40410496,5.250000954,0.932583094,0.723827692
SR,0.826650918,17.41705108,9.76214695,0.912051857,0.881827619
SW-620,0.856349945,10.69400772,7.293740749,0.927497089,0.880867509
T-47D,0.769884646,9.676451061,7.043263435,0.877867222,0.726540423
TK-10,0.780384421,10.0075655,6.775855541,0.884421825,0.813223912
U251,0.864217103,11.10677156,7.333945274,0.929844856,0.828160276
UACC-257,0.803100765,8.137102709,5.352656841,0.897016943,0.710286367
UACC-62,0.846848667,9.464301245,6.320850372,0.92090255,0.832036182
UO-31,0.794890642,7.698697503,5.170628548,0.891729057,0.821723647
